output,index,hit_count,x,y
1479,"[394, 439, 997, 1453, 1455, 1491, 1511]",7,-12.0,-35.0
1482,"[874, 918, 962, 999, 1518]",5,6.0,-33.0
1484,[537],1,11.0,-15.0
1485,"[52, 86, 308, 543, 698, 707, 727, 740, 754, 758, 1184, 1399, 1711]",13,-19.0,-25.0
1486,"[283, 1710]",2,-18.0,-26.0
1487,"[1671, 1735, 1754]",3,7.0,14.0
1490,"[519, 529, 539, 561, 575, 578, 579, 599, 605, 607, 614, 619, 813]",13,-1.0,-40.0
1491,"[264, 296, 379, 722, 945]",5,-14.0,-34.0
1492,"[654, 674, 684, 686, 773, 923, 933, 943, 955, 1015, 1028, 1165]",12,-13.0,-35.0
1493,"[19, 29, 31, 73, 105, 119, 139, 161, 169, 1176, 1616, 1646]",12,-3.0,-40.0
1495,"[517, 609, 623, 947, 972, 994, 1000]",7,14.0,-14.0
